"","competition","trial","culture_conditions","Condition","Timepoint_hr","CFU_per_mL_total","mean_CFU_per_mL","log_mean_CFU_per_mL","sem_CFU_per_mL","log_sem_CFU_per_mL","fold_change","log_fold_change","mean_fold_change","mean_log_fold_change"
"108","PA01_Kp","trial_4","co-culture","KPPR1_PA01","T0",3200000,3560000,6.55144999797287,354400.902933387,5.54949481970059,NA,NA,NA,NA
"109","PA01_Kp","trial_4","control","KPPR1_fresh_LB","T24",6.2e+09,2.644e+10,10.4222614508136,6968041331.67994,9.84311071807126,1937.5,3.28724171117835,8315.5303030303,3.9198899505292
"110","PA01_Kp","trial_4","spent","KPPR1_self_spent","T24",3.8e+08,1.8e+08,8.25527250510331,59005084.5266745,7.77088943684103,126.666666666667,2.10266234189715,60.4052287581699,1.78107453336509
"111","PA01_Kp","trial_4","spent","KPPR1_spent_PA01","T24",1e+08,154840000,8.18988316264692,74118726.378696,7.86992794799904,38.4615384615385,1.58502665202918,47.7089743589744,1.67860008025573
"112","PA01_Kp","trial_4","co-culture","KPPR1_PA01","T24",8.4e+08,7.488e+09,9.87436583573005,5181866845.06655,9.71448624902113,262.5,2.41912930774198,1963.47308488613,3.29302495237723
"113","PA01_Kp","trial_5","control","KPPR1_fresh_LB","T0",3200000,3360000,6.52633927738984,263818.119165458,5.42130461980528,NA,NA,NA,NA
"114","PA01_Kp","trial_5","spent","KPPR1_self_spent","T0",3600000,3120000,6.49415459401844,205912.60281974,5.31368292829637,NA,NA,NA,NA
"115","PA01_Kp","trial_5","spent","KPPR1_spent_PA01","T0",3200000,3400000,6.53147891704226,296647.939483827,5.47224133607508,NA,NA,NA,NA
"116","PA01_Kp","trial_5","co-culture","KPPR1_PA01","T0",2800000,3560000,6.55144999797287,354400.902933387,5.54949481970059,NA,NA,NA,NA
"117","PA01_Kp","trial_5","control","KPPR1_fresh_LB","T24",4.2e+10,2.644e+10,10.4222614508136,6968041331.67994,9.84311071807126,13125,4.11809931207799,8315.5303030303,3.9198899505292
"118","PA01_Kp","trial_5","spent","KPPR1_self_spent","T24",2e+08,1.8e+08,8.25527250510331,59005084.5266745,7.77088943684103,55.5555555555556,1.74472749489669,60.4052287581699,1.78107453336509
"119","PA01_Kp","trial_5","spent","KPPR1_spent_PA01","T24",1.2e+07,154840000,8.18988316264692,74118726.378696,7.86992794799904,3.75,0.574031267727719,47.7089743589744,1.67860008025573
"120","PA01_Kp","trial_5","co-culture","KPPR1_PA01","T24",4.8e+09,7.488e+09,9.87436583573005,5181866845.06655,9.71448624902113,1714.28571428571,3.23408320603337,1963.47308488613,3.29302495237723
"121","Pa14_Kp","trial_1","control","KPPR1_fresh_LB","T0",3400000,3440000,6.53655844257153,312409.987036266,5.49472490883335,NA,NA,NA,NA
"122","Pa14_Kp","trial_1","spent","KPPR1_self_spent","T0",2400000,2760000,6.44090908206522,132664.991614216,5.12275633390707,NA,NA,NA,NA
"123","Pa14_Kp","trial_1","spent","KPPR1_spent_Pa14","T0",3600000,3200000,6.50514997831991,167332.005306815,5.22357901567111,NA,NA,NA,NA
"124","Pa14_Kp","trial_1","co-culture","KPPR1_Pa14","T0",4e+06,3640000,6.56110138364906,172046.505340853,5.23564585552947,NA,NA,NA,NA
"125","Pa14_Kp","trial_1","control","KPPR1_fresh_LB","T24",4.8e+10,2.64e+10,10.4216039268698,10684755495.5647,10.0287645884428,14117.6470588235,4.14976232033333,8500.93776641091,3.92946683680997
"126","Pa14_Kp","trial_1","spent","KPPR1_self_spent","T24",6.8e+07,219200000,8.34084054981233,65621947.5480574,7.81704911536462,28.3333333333333,1.45229767099463,80.2875457875458,1.90464818269798
"127","Pa14_Kp","trial_1","spent","KPPR1_spent_Pa14","T24",4.4e+07,16280000,7.21165440055318,8440284.3553994,6.92635707836743,12.2222222222222,1.0871501757189,4.64190476190476,0.666696225778767
"128","Pa14_Kp","trial_1","co-culture","KPPR1_Pa14","T24",9e+07,2.1e+08,8.32221929473392,44497190.922574,7.64833259513077,22.5,1.35218251811136,58.3713450292398,1.76619970071202
"129","Pa14_Kp","trial_2","control","KPPR1_fresh_LB","T0",3e+06,3440000,6.53655844257153,312409.987036266,5.49472490883335,NA,NA,NA,NA
