Kp_strain,Ec_strain,blank_corr_read,trial,growth,med_blank_corr_read
JV120,JV537,0,trial_3,Y,0.019000000000000003
JV121,JV537,0.354,trial_3,Y,0.27399999999999997
JV122,JV537,0.0059999999999999915,trial_3,Y,0.017
JV123,JV537,0,trial_3,Y,0.06000000000000001
JV124,JV537,0.006999999999999992,trial_3,Y,0.16599999999999998
JV1,JV540,0.0020000000000000018,trial_3,Y,0.0020000000000000018
JV74,JV540,0,trial_3,Y,0.0010000000000000009
JV77,JV540,0.0030000000000000027,trial_3,Y,0.0030000000000000027
JV78,JV540,0.0010000000000000009,trial_3,Y,0.0010000000000000009
JV79,JV540,0.0030000000000000027,trial_3,Y,0.0030000000000000027
JV80,JV540,0.0020000000000000018,trial_3,Y,0.0020000000000000018
JV81,JV540,0.0050000000000000044,trial_3,Y,0.0050000000000000044
JV82,JV540,0.0020000000000000018,trial_3,Y,0.0020000000000000018
JV83,JV540,0.005999999999999998,trial_3,Y,0.005999999999999998
JV84,JV540,0.0030000000000000027,trial_3,Y,0.0030000000000000027
JV85,JV540,0.006999999999999999,trial_3,Y,0.006999999999999999
JV86,JV540,0.0020000000000000018,trial_3,Y,0.0020000000000000018
JV88,JV540,0.0030000000000000027,trial_3,Y,0.0030000000000000027
JV89,JV540,0.0020000000000000018,trial_3,Y,0.0020000000000000018
JV90,JV540,0.0030000000000000027,trial_3,Y,0.0030000000000000027
JV91,JV540,0.0040000000000000036,trial_3,Y,0.0040000000000000036
JV93,JV540,0.005999999999999998,trial_3,Y,0.005999999999999998
JV94,JV540,0.0030000000000000027,trial_3,Y,0.0030000000000000027
JV95,JV540,0.005999999999999998,trial_3,Y,0.005999999999999998
JV96,JV540,0.0010000000000000009,trial_3,Y,0.0010000000000000009
JV97,JV540,0.337,trial_3,Y,0.337
JV98,JV540,0,trial_3,Y,0.0010000000000000009
JV99,JV540,0.0050000000000000044,trial_3,Y,0.0050000000000000044
JV100,JV540,0,trial_3,Y,0.0010000000000000009
JV101,JV540,0.0040000000000000036,trial_3,Y,0.0040000000000000036
JV102,JV540,0.006999999999999999,trial_3,Y,0.006999999999999999
JV103,JV540,0.0030000000000000027,trial_3,Y,0.0030000000000000027
JV104,JV540,0.0040000000000000036,trial_3,Y,0.0040000000000000036
JV105,JV540,0.0020000000000000018,trial_3,Y,0.0020000000000000018
