Loc_ID,Pa14 gene locus,PA01 gene locus,Gene name,Gene description,z-score trial 1,z-score trial 2
PAMr_nr_mas_04_3_G02,PA14_07450,PA0574,PA0574,Hypothetical protein,-0.23191637310056815,-0.4393310172170617
PAMr_nr_mas_04_3_G03,PA14_54000,PA0792,prpD,propionate catabolic protein PrpD,-0.9095694840377658,-0.17828053379701772
PAMr_nr_mas_04_3_G04,PA14_66660,PA5044,pilM,type 4 fimbrial biogenesis protein PilM,-0.29706424903457396,0.1911620717986257
PAMr_nr_mas_04_3_G05,PA14_64590,PA4887,NA,putative MFS transporter,2.664697436048551,3.496011510510583
PAMr_nr_mas_04_3_G06,PA14_26560,PA2900,NA,putative outer membrane protein precursor,0.5702565675931852,-0.5490603507179292
PAMr_nr_mas_04_3_G07,PA14_66540,PA5033,NA,hypothetical protein,1.1035449952122258,-0.12332784624653421
PAMr_nr_mas_04_3_G08,PA14_35230,PA2269,NA,putative efflux protein,-0.20559726628445335,0.11829086316156716
PAMr_nr_mas_04_3_G09,PA14_29260,PA2696,NA,putative transcriptional regulator,-1.039808755058575,-0.33849342729965104
PAMr_nr_mas_04_3_G10,PA14_14520,PA3826,NA,putative membrane protein,-0.8741426991777973,-0.7349995364353002
PAMr_nr_mas_04_3_G11,PA14_38660,PA1999,NA,"putative CoA transferase, subunit A",-0.8081390717484929,0.781561757567515
PAMr_nr_mas_04_3_G12,PA14_15190,PA3780,NA,putative TRAP-type C4-dicarboxylate transport protein,-0.08121699328598339,0.5572840361522121
PAMr_nr_mas_04_3_H01,PA14_57560,PA4430,NA,putative cytochrome b,1.3394128164051506,0.4466172970016075
PAMr_nr_mas_04_3_H02,PA14_16150,PA3731,NA,putative phage shock protein,-0.5762801965937371,0.518816047790188
PAMr_nr_mas_04_3_H03,PA14_52160,PA0935,NA,conserved hypothetical protein,-0.2912825868142249,0.1760151206534217
